product_id,expo_times,avg_click_rate,
A,1,1.000000 ,
A,2,0.821200 ,
A,3,0.787867 ,
A,4,0.754533 ,
A,5,0.654533 ,
A,6,0.625962 ,
A,7,0.568819 ,
A,8,0.540248 ,
A,9,0.483105 ,
A,10,0.425962 ,
A,11,0.405962 ,
A,12,0.400962 ,
A,13,0.395962 ,
A,14,0.385962 ,
A,15,0.370962 ,
A,16,0.365962 ,
A,17,0.350962 ,
A,18,0.345962 ,
A,19,0.340962 ,
A,20,0.325962 ,
A,21,0.310962 ,
A,22,0.295962 ,
A,23,0.290962 ,
A,24,0.285962 ,
A,25,0.280962 ,
A,26,0.275962 ,
A,27,0.265962 ,
A,28,0.260962 ,
A,29,0.255962 ,
A,30,0.245962 ,
